355,금능으뜸원 해수욕장
356,낭하리해변
357,하도 해수욕장
358,용담리해변
359,신남해변
360,사량 대항 해수욕장
361,덕적도 능동자갈마당
362,구봉솔숲해수욕장
363,후포 해수욕장
364,소청예동 해수욕장
365,사곶 해수욕장
366,구리동 해수욕장
367,실미 해수욕장
368,황성금리 해수욕장
369,추포 해수욕장
370,신도 해수욕장
371,배낭기미 해수욕장
372,홍도 해수욕장
373,낭도 해수욕장
374,정강 해수욕장
375,대풍 해수욕장
376,구시포 해수욕장
377,하효쇠소깍 해수욕장
378,종달 해수욕장
379,서빈백사 해수욕장
380,추자모진이 해수욕장
381,밤섬 해수욕장
382,몽돌해수욕장 (옹진군)
383,방아머리해수욕장
384,당너머 해수욕장
385,호도 해수욕장
386,초곡해수욕장
387,곰섬 해수욕장
388,백리포(방주골) 해수욕장
389,사곡 해수욕장
390,구영 해수욕장
391,망치해변 해수욕장
392,옥계 해수욕장
393,한재밑해변
394,거잠포해변
395,용유도 마시안해변
396,선녀바위해수욕장
397,용유도해변
398,왜목마을 해수욕장
399,감추해변
400,한섬해변&한섬감성바닷길
401,고불개해변
402,하평해변(동해)
403,염전해변
404,북분리 해수욕장
405,순포해변
406,대청도 농여해변
407,소돌해수욕장
408,고파도 해수욕장
409,광암 해수욕장
410,청시행비치
411,웅천 해수욕장
412,중광정해변
413,화진포콘도 해수욕장
414,서도 해수욕장
415,설레미 해수욕장
416,짱뚱어 해수욕장
417,향호해수욕장
418,백령도 콩돌해변
419,애견전용해수욕장 멍비치
420,38해변
